Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Rorainópolis,1400472,1.73688481016627,0.517294455452198,0.94,-60.41,208597.8,4121,27020,6454,3979,49259,153429.59,7.05173e-06,19381,0.76,0.12,0.00104221,0.239004149,0.98,0.082855654,0.84,0.94,-60.41,Amazônia
São João da Baliza,1400506,1.76885043966217,0.526814743042073,0.95,-59.91,89785.6,1418,11759,2021,1391,19701,57815.34,2.04673e-05,14362,0.81,0.17,0.003891051,0.293103448,0.37,0.097276265,1807,0.95,-59.91,Amazônia
São Luiz,1400605,1.82026426638962,0.542127265406263,1,-60.15,81551.5,1253,9756.08,1325,1948,19871,54322.21,1.20401e-05,11464,0.81,0.07,0,0.228991597,0.26,0.072765073,4975,1,-60.15,Amazônia
Uiramutã,1400704,1,0.297828878705363,4.59,-60.16,19535.1,356,1149.54,7468,258,8412,707327,2.79587e-05,15772,0.97,0.05,0.000745157,0.282578875,1,0.040983607,1.22,4.59,-60.16,Amazônia
Abaetetuba,1500107,1,0.297828878705363,-1.72951,-48.8743,94116.3,5333,26419,32227,1818,267249,19264,5.10965e-05,11.82,0.85,0.07,0.001275239,0.135358146,0.91,0.050797024,95243,-1.72951,-48.8743,Amazônia
Abel Figueiredo,1500131,1.26691044715356,0.377322517895854,-4.95,-48.39,25917.2,241,5824.95,395,232,14619,1150.02,1.03625e-05,8113,0.85,0.02,1e-10,0.245454546,1,0.102150538,11774,-4.95,-48.39,Amazônia
Acará,1500206,1.32353590818663,0.394187215461509,-1.96,-48.19,154795.4,4189,23769,19330,10488,136131,65318,2.21737e-05,10573,0.94,0.04,0.004393535,0.108505564,0.88,0.050839479,12454,-1.96,-48.19,Amazônia
Afuá,1500305,1.09846604680169,0.327154911014861,-0.15,-50.38,133819.2,5623,15201.99,12128,5907,108773,120130,2.69769e-05,12572,0.97,0.02,0.004888268,0.075520833,0.89,0.047253259,4556,-0.15,-50.38,Amazônia
Água Azul do Norte,1500347,1.06199421642323,0.316292546668911,-6.79,-50.46,408678.7,8355,115201,6693,8621,206088,78706,7.73172e-07,8018,0.72,0.06,0.001239157,0.206773619,0.97,0.147459727,3751,-6.79,-50.46,Amazônia
Alenquer,1500404,1.65140818590037,0.491837048291564,-1.94,-54.73,302046.1,7974,24017,24238,5269,109849,106877.97,2.45977e-06,12377,0.79,0.07,0.002024292,0.140738186,0.89,0.067206478,2336,-1.94,-54.73,Amazônia
Almeirim,1500503,0.999999999999957,0.29782887870535,-1.52,-52.58,181246.2,2382,1,4230,677,30891,83288.92,7.32716e-06,16314,0.76,0.24,0.006404392,0.129301356,0.77,0.028362306,0.46,-1.52,-52.58,Amazônia
Altamira,1500602,0.999999999999999,0.297828878705363,-3.2,-52.2,1527792.3,17477,123669,13962,8377,299641,759660,7.3608e-07,13789,0.7,0.05,0.001540041,0.172211953,0.77,0.047227926,0.7,-3.2,-52.2,Amazônia
Anajás,1500701,1.67004200187221,0.497386736808462,-0.98,-49.93,162642,657,3298.76,2900,359,17084,132335,5.20425e-05,9356,0.94,0.01,0.00060024,0.025562995,0.78,0.031212485,4118,-0.98,-49.93,Amazônia
Ananindeua,1500800,1,0.297828878705363,-1.36,-48.37,1401.2,407,1,697,7,7176,279614,1.58099e-06,19989,0.84,0.32,0.006968641,0.14379085,0.75,0.073170732,2709.66,-1.36,-48.37,Amazônia
Anapu,1500859,1.64287049283969,0.489294276740573,-3.47,-51.19,396205.5,4374,33593,7807,6515,80739,176998,2.37072e-06,12.7,0.79,0.05,0.000832293,0.141983399,0.99,0.047856846,2278,-3.47,-51.19,Amazônia
Augusto Corrêa,1500909,1.20605991679013,0.359199472669087,-1.02,-46.64,38004,1657,9745.94,14588,298,47016,11108,7.8073e-05,11687,0.91,0.02,0,0.107142857,0.74,0.074483149,40982,-1.02,-46.64,Amazônia
