"Cidade","Bioma","Estado","Regiao","Geocode","Eficiencia_VRS","Efic_Norm_VRS","Eficiencia_CRS","Efic_Norm_CRS","Latitude","Longitude","x1","x2","x3","x4","x5","y1","y2","Iy3","Iy4","z1","z2","z3","z4","z5","z6","z7","z8","z9","cluster","Eficiencia_Bootstrap"
"Analândia","Cerrado","SP","SUDESTE",3502002,2.44293467385882,0.409343733461532,3.17974359838137,0.314490766019324,-22.12,-47.66,23618.9,2179,1352848,755,1455,51266,7321,2.27953e-05,15.23,0.38,0.49,0.068965517,0.578947368,0.85,0.181034483,14864,-22.12,-47.66,"0.26 - 0.50",2.79977542565891
"Angatuba","Cerrado","SP","SUDESTE",3502200,1.5911750173,0.628466378071258,2.31568762346026,0.431837174353306,-23.48,-48.41,85119.5,9462,169918,3271,11702,248209,35992.16,7.85291e-06,14352,0.68,0.18,0.020408163,0.271582734,0.9,0.090225564,23.98,-23.48,-48.41,"0.51 - 0.75",1.82090663912577
"Anhembi","Cerrado","SP","SUDESTE",3502309,1.53499638034794,0.651467334257379,2.47533032977003,0.403986485348363,-22.78,-48.12,44789.1,5634,46572.64,880,1903,95897,17009.19,1.02195e-05,5124,0.5,0.46,0.076086957,0.557971015,0.91,0.135869565,8803,-22.78,-48.12,"0.51 - 0.75",1.7077082089711
"Anhumas","Cerrado","SP","SUDESTE",3502408,2.05806056508252,0.485894349741793,2.96286933569428,0.337510665068081,-22.29,-51.38,24201,1830,17021.94,590,726,37521,3394,1.26267e-05,9137,0.59,0.3,0.058295964,0.520661157,0.83,0.174887892,12632,-22.29,-51.38,"0.26 - 0.50",2.37174949136308
"Aramina","Cerrado","SP","SUDESTE",3503000,1,1,1.13623773142138,0.880097511591212,-20.09,-47.78,17055.8,843,13199.18,217,817,70589,436881,3.4724e-05,16209,0.54,0.35,0.195121951,0.551724138,0.71,0.207317073,27373,-20.09,-47.78,"0.76 - 1.00",1.2483494607767
"Arandu","Cerrado","SP","SUDESTE",3503109,0.999999999999844,1.00000000000016,1.00000000000003,0.999999999999973,-23.13,-49.05,18203.4,5333,66522,1093,2266,172607,3009,2.27823e-05,28227,0.53,0.64,0.027027027,0.430107527,0.79,0.167567568,22273,-23.13,-49.05,"0.76 - 1.00",1.23609846868746
"Araraquara","Cerrado","SP","SUDESTE",3503208,1,1,2.04548245411286,0.488882218466014,-21.79,-48.17,55883.7,3619,35171,2671,1602,123382,11110,8.10806e-06,47299,0.76,0.48,0.046413502,0.385185185,0.48,0.149085795,229936,-21.79,-48.17,"0.76 - 1.00",1.247032503652
"Araras","Cerrado","SP","SUDESTE",3503307,1.01501056059084,0.985211424221932,3.25896266129496,0.30684610531949,-22.35,-47.38,50483.1,32340,295910,4236,17769,160423,5371,1.37185e-05,40835,0.61,0.7,0.270949721,0.397058824,0.56,0.248603352,203591,-22.35,-47.38,"0.76 - 1.00",1.14782056055214
"Arealva","Cerrado","SP","SUDESTE",3503406,1.454084291544,0.687718040704615,2.00398859091765,0.499004836919799,-22.02,-48.91,41926.2,3471,50407,1870,2484,117855,3238,9.12297e-06,18005,0.64,0.48,0.023255814,0.368550369,0.91,0.072868217,16738,-22.02,-48.91,"0.51 - 0.75",1.65109650150143
"Areiópolis","Cerrado","SP","SUDESTE",3503604,1,1,1.00000000000039,0.999999999999611,-22.66,-48.66,6594.9,85,5266.1,62,21,31361,627515,7.73594e-05,10336,0.38,0.52,0.190476191,0.75,0.81,0.095238095,129291,-22.66,-48.66,"0.76 - 1.00",1.29094801186665
"Assis","Cerrado","SP","SUDESTE",3504008,1.0000000000004,0.999999999999598,1.166971402738,0.85691902788171,-22.66,-50.41,28580.2,2579,39680.79,1118,790,141215,1935,1.25623e-05,24975,0.66,0.41,0.149100257,0.37654321,0.78,0.143958869,223452,-22.66,-50.41,"0.76 - 1.00",1.25477554085856
"Avaí","Cerrado","SP","SUDESTE",3504305,2.04152095307333,0.489830877559493,3.1041464719658,0.32214974680841,-22.14,-49.33,42411.5,3186,55192.83,1040,1880,77759,13793.3,1.19971e-05,10621,0.48,0.22,0.002673797,0.431034483,0.67,0.056149733,9871,-22.14,-49.33,"0.26 - 0.50",2.34709811494452
"Avaré","Cerrado","SP","SUDESTE",3504503,1,1,1.96577579493412,0.508705012330012,-23.09,-48.92,99610.8,13708,234067,3919,8238,360814,26757,7.60668e-06,26813,0.53,0.54,0.016541353,0.519607843,0.74,0.121804511,73763,-23.09,-48.92,"0.76 - 1.00",1.12541229260539
"Bariri","Cerrado","SP","SUDESTE",3505203,1.63154707477807,0.61291519899052,2.01786079611705,0.495574324018926,-22.07,-48.74,35861.2,19183,150021.84,2174,12397,172794,1903.82,1.0836e-05,15158,0.6,0.63,0.243902439,0.461538462,0.91,0.208672087,77861,-22.07,-48.74,"0.51 - 0.75",1.88111802183979
"Barretos","Cerrado","SP","SUDESTE",3505500,1,1,1.49437780369103,0.669174821474234,-20.55,-48.56,135743.5,18892,358237,3807,22734,683692,9190,4.37045e-06,25187,0.66,0.35,0.150769231,0.524752475,0.84,0.097435897,77028,-20.55,-48.56,"0.76 - 1.00",1.2268330137612
"Batatais","Cerrado","SP","SUDESTE",3505906,2.51388524882197,0.397790631242459,6.35492806780029,0.15735819341007,-20.89,-47.58,65137.8,38716,424645,6480,21571,110832,6539,7.20445e-06,14335,0.64,0.59,0.162234043,0.613636364,0.85,0.236702128,72.37,-20.89,-47.58,"0.26 - 0.50",2.80243214448557
"Bauru","Cerrado","SP","SUDESTE",3506003,1.09568062213192,0.912674715424142,1.66781247257767,0.599587793257391,-22.31,-49.06,40587,4552,66973,2070,1945,152233,12538,9.43856e-06,27105,0.52,0.29,0.030379747,0.47826087,0.82,0.118987342,556685,-22.31,-49.06,"0.76 - 1.00",1.23962489355507
"Bebedouro","Cerrado","SP","SUDESTE",3506102,1.15924614169546,0.862629569366043,1.49288689554383,0.669843109337307,-20.94,-48.47,61236.5,10302,131290.63,2375,17983,308738,4806,1.11251e-05,23547,0.61,0.67,0.380634391,0.525714286,0.8,0.210350584,113.82,-20.94,-48.47,"0.76 - 1.00",1.32890195793936
"Boa Esperança do Sul","Cerrado","SP","SUDESTE",3506706,1.07662847793387,0.928825514553616,2.21472228432869,0.451523880477463,-21.99,-48.39,62741.5,3323,93338.6,2008,24112,162120,12515.12,1.37242e-05,20685,0.53,0.59,0.203592814,0.411764706,0.69,0.113772455,21.32,-21.99,-48.39,"0.76 - 1.00",1.1756364584513
"Bocaina","Cerrado","SP","SUDESTE",3506805,1.00000000000015,0.999999999999848,1.73665172004475,0.575820694764425,-22.13,-48.51,29898.1,15103,112682.74,417,940,92837,4648.85,0.000129247,24272,0.44,0.59,0.213740458,0.735294118,0.59,0.297709924,33084,-22.13,-48.51,"0.76 - 1.00",1.23412139658301
"Bofete","Cerrado","SP","SUDESTE",3506904,1.06097374250658,0.942530394425663,3.06207053500537,0.326576409187206,-23.1,-48.25,38210.3,1440,35289,794,2595,63436,18337,1.38162e-05,25805,0.52,0.48,0.013215859,0.5,0.91,0.140969163,17192,-23.1,-48.25,"0.76 - 1.00",1.18592948480426
"Bom Sucesso de Itararé","Cerrado","SP","SUDESTE",3507159,1.38249360223206,0.723330652948761,1.76464516393707,0.566686164695522,-24.31,-49.14,7124.8,598,7071.81,230,161,6074,5380.12,0.000159625,13142,0.39,0.55,2e-10,0.275862069,0.96,0.035714286,29107,-24.31,-49.14,"0.51 - 0.75",1.60513773282842
"Borá","Cerrado","SP","SUDESTE",3507209,2.11832954704783,0.472070080594227,4.29211616651638,0.232985306362673,-22.27,-50.53,7639.8,10776,78444.88,1234,72,8707,1066.65,3.71636e-05,9722,0.34,0.42,0.078947368,0.666666667,0.89,0.210526316,7053,-22.27,-50.53,"0.26 - 0.50",2.49351588126529
"Borebi","Cerrado","SP","SUDESTE",3507456,3.52765007656696,0.283474828368799,4.15503025023013,0.240672134684125,-22.56,-48.97,25619.1,4537,39630.67,659,3094,39446,18118.31,6.0477e-05,18.18,0.54,0.66,1e-10,0.419354839,0.83,0.185714286,7405,-22.56,-48.97,"0.26 - 0.50",4.1069236517965
"Botucatu","Cerrado","SP","SUDESTE",3507506,1,1,2.65121144236103,0.377186060689845,-22.88,-48.44,96105.5,1107997,217000.6,2430,12866,243019,40534,6.6976e-06,43847,0.46,0.5,0.044568245,0.574850299,0.84,0.155988858,96143,-22.88,-48.44,"0.76 - 1.00",1.18866530486846
"Brodowski","Cerrado","SP","SUDESTE",3507803,1.00646951989888,0.993572065749662,1.52900035356894,0.654022085518709,-20.99,-47.65,18841.4,1449,22484.17,586,1025,68955,2525.62,1.8619e-05,24375,0.51,0.56,0.222222222,0.5,0.8,0.169934641,86519,-20.99,-47.65,"0.76 - 1.00",1.14768283200929
"Brotas","Cerrado","SP","SUDESTE",3507902,1.14759571649789,0.8713870099234,2.43104513447993,0.411345715394926,-22.28,-48.12,91715,23136,198198.39,2656,3745,235997,27630,8.24558e-06,26.57,0.51,0.4,0.126262626,0.50802139,0.82,0.21969697,21662,-22.28,-48.12,"0.76 - 1.00",1.28728482906912
"Buri","Cerrado","SP","SUDESTE",3508009,0.999999999999762,1.00000000000024,1.68779575383054,0.592488752107858,-23.79,-48.59,95038.9,12597,151267.2,2526,5799,348328,49938.44,1.03641e-05,17.84,0.66,0.22,0.032075472,0.541958042,0.91,0.173584906,16504,-23.79,-48.59,"0.76 - 1.00",1.16424586641097
"Buritizal","Cerrado","SP","SUDESTE",3508207,2.00490858831896,0.498775857326475,2.04687633309593,0.488549300136508,-20.19,-47.7,22098.3,24642,253157.51,404,53060,75532,2421.88,2.0812e-05,12.24,0.67,0.42,0.150326797,0.467391304,0.86,0.045751634,16545,-20.19,-47.7,"0.26 - 0.50",2.39316375276081
"Cabrália Paulista","Cerrado","SP","SUDESTE",3508306,1,1,1.23612364529445,0.808980560971141,-22.45,-49.33,13750.7,931,18721.97,319,3289,18644,5403.48,2.93076e-05,11434,0.46,0.54,0.02020202,0.4,0.93,0.252525253,18135,-22.45,-49.33,"0.76 - 1.00",1.1974975056681
"Cajuru","Cerrado","SP","SUDESTE",3509403,1.00000000000033,0.999999999999672,1.00000000000029,0.999999999999709,-21.27,-47.3,56397.6,2121,37242.91,2207,1244,211652,10862,1.05451e-05,28327,0.5,0.13,0.033967391,0.436507937,0.95,0.066576087,38866,-21.27,-47.3,"0.76 - 1.00",1.1789890527778
"Campina do Monte Alegre","Cerrado","SP","SUDESTE",3509452,1,1,1.00000000000003,0.99999999999997,-23.59,-48.47,14588.5,1173,15380.47,344,926,39648,3603.65,3.50396e-05,10605,0.69,0.29,0.028368794,0.31884058,0.76,0.120567376,32227,-23.59,-48.47,"0.76 - 1.00",1.19269300157472
"Campos Novos Paulista","Cerrado","SP","SUDESTE",3509809,0.999999999999678,1.00000000000032,0.999999999999656,1.00000000000034,-22.6,-50,33018.4,4442,69069.2,688,261,98847,4752.18,1.62799e-05,8911,0.61,0.64,0.492146597,0.285714286,0.82,0.256544503,10.12,-22.6,-50,"0.76 - 1.00",1.13625006217806
"Cândido Mota","Cerrado","SP","SUDESTE",3510005,1.17081236053501,0.854107826076453,1.17773705262653,0.849085963432882,-22.74,-50.38,39480.6,7153,101981.88,1200,4613,187986,1773.03,1.2176e-05,9235,0.61,0.87,0.62962963,0.422222222,0.83,0.39031339,52471,-22.74,-50.38,"0.76 - 1.00",1.26092586731866
"Capão Bonito","Cerrado","SP","SUDESTE",3510203,1.08166044354802,0.924504548506774,2.45923327589542,0.406630802291782,-24,-48.34,104229.3,11319,158610,3174,9108,220327,53660.07,1.00128e-05,30264,0.64,0.36,0.067105263,0.301886793,0.84,0.155263158,28937,-24,-48.34,"0.76 - 1.00",1.16370254388417
"Cardoso","Cerrado","SP","SUDESTE",3510708,2.08283433014469,0.48011499787913,2.30476487827089,0.433883737741714,-20.08,-49.91,40490.6,1157,67331.82,621,478,34057,6865,7.70661e-06,6816,0.71,0.37,0.030418251,0.438709677,0.93,0.114068441,19285,-20.08,-49.91,"0.26 - 0.50",2.29747248010371
"Casa Branca","Cerrado","SP","SUDESTE",3510807,0.999999999999811,1.00000000000019,1.12081417429769,0.892208559573764,-21.77,-47.08,70107.1,18858,305530.66,3519,8922,404043,12247,9.20084e-06,28.19,0.57,0.56,0.228174603,0.470046083,0.64,0.216269841,34.88,-21.77,-47.08,"0.76 - 1.00",1.0896369564085
"Cássia dos Coqueiros","Cerrado","SP","SUDESTE",3510906,1.34700788671509,0.742386150714139,1.34722208171118,0.742268118653345,-21.28,-47.16,13870.6,1563,20379,952,1741,50988,2666.99,2.85863e-05,15976,0.69,0.48,0.13125,0.65,0.96,0.103125,13517,-21.28,-47.16,"0.51 - 0.75",1.48205750692341
"Cerqueira César","Cerrado","SP","SUDESTE",3511409,0.999999999999566,1.00000000000043,0.999999999999629,1.00000000000037,-23.03,-49.16,40462.4,22613,121232,1499,5802,253712,7582,1.10848e-05,18932,0.55,0.53,0.065989848,0.44549763,0.81,0.205583756,38104,-23.03,-49.16,"0.76 - 1.00",1.10743784181353
