Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Taquarivaí,3553856,0.999999999999809,0.11878647562053,-23.92,-48.69,18441.1,4634,88776.1,912,10368,127440,5771.15,3.04866e-05,21527,0.59,0.54,0.172413793,0.393939394,0.87,0.215517241,24656,-23.92,-48.69,Cerrado
Tarabai,3553906,3.51580735828501,0.417630365051483,-22.3,-51.55,15139.2,837,25064.96,327,3777,24333,1336.47,1.91121e-05,4716,0.59,0.7,0.023809524,0.642857143,0.9,0.174603175,36259,-22.3,-51.55,Cerrado
Tarumã,3553955,1.62289149824308,0.192777561390855,-22.74,-50.57,23405.9,26927,191677.51,3505,7195,137980,1114.44,1.9104e-05,13223,0.51,0.68,0.375,0.25,0.89,0.325,48024,-22.74,-50.57,Cerrado
Tejupá,3554201,2.03424499710501,0.241640793754846,-23.34,-49.37,17956.8,2429,25094,936,1176,42328,3795,2.72393e-05,11438,0.64,0.43,0.084142395,0.370044053,0.9,0.197411003,15791,-23.34,-49.37,Cerrado
Terra Roxa,3554409,2.63416577754689,0.312903268915069,-20.78,-48.33,19714.5,1787,30499.15,465,1012,69956,972.51,7.93811e-06,5263,0.66,0.56,0.442857143,0.565217391,0.94,0.235714286,41649,-20.78,-48.33,Cerrado
Torre de Pedra,3554656,1,0.118786475620553,-23.24,-48.19,7914,187,3795.31,423,597,9947,1402.36,6.82889e-05,9851,0.53,0.19,1e-10,0.507462687,0.86,0.062857143,33568,-23.24,-48.19,Cerrado
Torrinha,3554706,2.19850340542037,0.261152471169669,-22.42,-48.16,26536.7,3248,57507,1305,1339,68165,7455,1.77741e-05,12292,0.67,0.29,0.033254157,0.379562044,0.93,0.289786223,31.51,-22.42,-48.16,Cerrado
Trabiju,3554755,1,0.118786475620553,-22.04,-48.33,2110.1,171,1725.08,61,23115,4818,248303,0.00011241,11709,0.29,0.54,0.208333333,1,0.79,0.291666667,26663,-22.04,-48.33,Cerrado
Ubirajara,3555505,2.0859892072762,0.247787306114851,-22.52,-49.66,21327.8,3715,114627.08,944,762,73941,2937.53,2.21409e-05,10241,0.59,0.27,0.03785489,0.486338798,0.88,0.230283912,16777,-22.52,-49.66,Cerrado
Vargem Grande do Sul,3556404,1.08333124016167,0.128685099948448,-21.83,-46.89,19576,3085,65460.25,1109,453,96434,2260,1.67822e-05,20579,0.63,0.66,0.143589744,0.489795918,0.81,0.21025641,158359,-21.83,-46.89,Cerrado
Viradouro,3556800,2.50750021504118,0.29785711316252,-20.87,-48.29,19791.7,1971,28567.29,704,2285,84110,1168,3.21108e-05,4138,0.67,0.78,0.643884892,0.467741936,0.96,0.23381295,85676,-20.87,-48.29,Cerrado
Estiva Gerbi,3557303,1,0.118786475620553,-22.27,-46.94,4419,813,10292.84,574,194,23317,548.47,0.000111641,16181,0.73,0.49,0.032967033,0.475,0.69,0.197802198,149264,-22.27,-46.94,Cerrado
Arapoti,4101606,3.48329738236396,0.413768619589313,-24.15,-49.82,120171,20195,405145,3377,20161,411359,57550,5.15782e-06,17.78,0.58,0.35,0.199300699,0.288690476,0.84,0.213286713,20512,-24.15,-49.82,Cerrado
Castro,4104907,1.84353190310206,0.218986657463545,-24.79,-50.01,140568.7,27611,603069.4,7383,20947,609955,42388,2.41747e-06,16381,0.68,0.31,0.157894737,0.197767145,0.86,0.164809835,28244,-24.79,-50.01,Cerrado
Jaguariaíva,4112009,2.19821615723613,0.261118349970235,-24.25,-49.7,111609.7,9359,152720.14,3452,8478,333630,69682,9.71763e-06,14145,0.5,0.14,0.062130178,0.274319066,0.95,0.090729783,23964,-24.25,-49.7,Cerrado
Piraí do Sul,4119400,2.25333660715882,0.26766591395117,-24.52,-49.94,107493.7,13559,339132,4032,6382,335387,44704,7.59942e-06,14534,0.67,0.37,0.128432956,0.301969365,0.9,0.166397415,18016,-24.52,-49.94,Cerrado
São José da Boa Vista,4125407,2.52327490285978,0.299730932732507,-23.91,-49.65,35201.3,4893,61344.74,1747,3188,99351,9361,1.48221e-05,11083,0.75,0.34,0.252173913,0.232142857,0.87,0.217391304,16226,-23.91,-49.65,Cerrado
Sengés,4126306,1.98559199596404,0.235861475220947,-24.11,-49.46,126266.5,12688,90762,2666,1966,288134,94692,1.37946e-05,15114,0.63,0.19,0.084291188,0.271966527,0.83,0.068965517,13.49,-24.11,-49.46,Cerrado
Telêmaco Borba,4127106,1,0.118786475620553,-24.32,-50.61,85888.1,16047,1,2113,171,460262,84119.98,0.000117767,32043,0.73,0.24,0.010416667,0.444444444,0.93,0.104166667,55881,-24.32,-50.61,Cerrado
Tibagi,4127502,1.51370558092062,0.179807751084722,-24.5,-50.41,228251.9,23521,346528,4304,13184,876416,85534,4.35745e-06,17547,0.64,0.44,0.129807692,0.356060606,0.89,0.224038462,6966,-24.5,-50.41,Cerrado
Wenceslau Braz,4128500,1.68106762242479,0.199688098147663,-23.87,-49.8,34863.3,4735,58640.13,2204,2035,142784,8139,6.83618e-05,16259,0.78,0.18,0.09948542,0.30449827,0.85,0.146655232,49.9,-23.87,-49.8,Cerrado
Ventania,4128534,1.83852571133929,0.218391989587764,-24.24,-50.24,46348.6,4561,90846.66,1137,2617,112798,18344,1.82619e-05,14766,0.65,0.26,0.070422535,0.229007634,0.85,0.187793427,15022,-24.24,-50.24,Cerrado
Água Clara,5000203,1.88391729998209,0.22378389642546,-20.44,-52.87,780675.7,10462,195151,2013,26285,535620,281917,9.24442e-07,8775,0.06,0.6,0.050531915,0.550802139,0.9,0.207446809,1.92,-20.44,-52.87,Cerrado
Alcinópolis,5000252,3.10555595099612,0.368898046261263,-18.32,-53.7,398543.8,9125,128256.63,1902,9965,223021,116334,1.36038e-06,7421,0.3,0.32,0.006622517,0.417355372,0.91,0.259933775,1179,-18.32,-53.7,Cerrado
Amambai,5000609,2.02376737517614,0.240396193973031,-23.1,-55.22,353367.8,20395,351526,4244,19130,434035,55607,1.2204e-06,15982,0.62,0.34,0.130160952,0.212038304,0.48,0.207837649,9153,-23.1,-55.22,Cerrado
Anastácio,5000708,3.84387326398151,0.456600157760435,-20.48,-55.8,287752.8,9586,73808,2533,3286,134525,70970,1.65386e-06,7619,0.77,0.25,0.009451796,0.334951456,0.84,0.086011342,8.47,-20.48,-55.8,Cerrado
Anaurilândia,5000807,3.26003337144393,0.387247874599214,-22.18,-52.71,271931,7074,78025.13,2253,4960,154393,43595,1.64837e-06,9535,0.59,0.29,0.043758044,0.433121019,0.94,0.198198198,2629,-22.18,-52.71,Cerrado
Antônio João,5000906,1.5293034701565,0.181660569374172,-22.19,-55.94,94588.3,11652,129605.34,1048,6548,176891,20074.23,7.02233e-06,16857,0.56,0.43,0.083892617,0.351515152,0.49,0.265100671,7691,-22.19,-55.94,Cerrado
Aparecida do Taboado,5001003,3.4283896664457,0.407246325531008,-20.08,-51.09,239989.2,12625,111132,2717,45832,283127,51085,2.24476e-06,8424,0.42,0.26,0.024523161,0.515815085,0.89,0.144414169,9117,-20.08,-51.09,Cerrado
