Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
São Luís,2111300,1.00493518564696,0.195971315308454,-2.52,-44.3,2015.7,838,13118.87,2536,112,19422,670103,0.000107197,21145,0.79,0.13,0.004895961,0.310344828,0.53,0.100367197,1307.9,-2.52,-44.3,Amazônia
São Luís Gonzaga do Maranhão,2111409,1.44294064530968,0.28138628263008,-4.38,-44.66,56548.8,971,9528.93,4111,1512,48226,11350.61,6.87948e-06,15036,0.84,0.04,0.001849568,0.084337349,0.39,0.119605425,20.07,-4.38,-44.66,Amazônia
São Mateus do Maranhão,2111508,2.71026312607464,0.528525458392538,-4.03,-44.47,36845.9,1900,8810.86,2048,832,24719,5153.2,1.14906e-05,15709,0.75,0.09,0,0.085173502,0.55,0.102112676,52338,-4.03,-44.47,Amazônia
São Pedro da Água Branca,2111532,1.34996607354784,0.263255412720617,-5.08,-48.42,61235.8,1259,27929.79,851,958,41051,20076.85,1.6824e-05,15823,0.78,0.09,0,0.247619048,0.92,0.161016949,17365,-5.08,-48.42,Amazônia
São Vicente Ferrer,2111706,1.40392872832914,0.273778611217461,-2.89,-44.88,3748.3,71,3426.48,8180,206,17225,654,4.55147e-05,9843,0.79,0.01,0,0.09569378,0.74,0.024888004,54886,-2.89,-44.88,Amazônia
Satubinha,2111722,2.15860902595387,0.420947993556963,-4.03,-45.23,19696.6,461,3616.4,1741,504,11503,2713.62,2.27612e-05,14215,0.8,0.03,0,0.161290323,0.85,0.104408353,31572,-4.03,-45.23,Amazônia
Senador La Rocque,2111763,1.33148437742744,0.259651317302747,-5.44,-47.29,55691,1716,21476.46,1383,764,55807,8151.39,4.55307e-06,21789,0.71,0.13,0,0.269911504,0.84,0.176817289,18.79,-5.44,-47.29,Amazônia
Serrano do Maranhão,2111789,2.04105790764637,0.398024478090768,-1.85,-45.12,1822.1,23,1245.99,1931,94,3254,1108.75,6.53135e-05,9377,0.9,0.03,0.004016064,0.074698795,0.57,0.054216867,9469,-1.85,-45.12,Amazônia
Tufilândia,2112274,1,0.195008910134131,-3.72,-45.55,13614,34,992435,334,59,3609,677867,3.92985e-05,9728,0.8,0.18,1e-10,0.268292683,0.93,0.093023256,21202,-3.72,-45.55,Amazônia
Turiaçu,2112407,2.21812891366395,0.432554901990611,-1.66,-45.37,9397.9,599,2875.86,5490,114,13246,2267.62,3.38041e-05,20734,0.97,0.01,0,0.115508885,0.73,0.022691293,13598,-1.66,-45.37,Amazônia
Turilândia,2112456,1.14483169424709,0.223252380982135,-2.2,-45.34,23270.5,146,4473.59,2152,102,13502,4418.37,1.49162e-05,15.24,0.85,0.04,0.005738881,0.087912088,0.85,0.043041607,16889,-2.2,-45.34,Amazônia
Viana,2112803,1.49341868446366,0.291229950031207,-3.22,-45,32804.8,475,7866.54,7799,286,33729,3694,2.35659e-05,13517,0.9,0.03,0.000371471,0.14453918,0.47,0.063893016,44279,-3.22,-45,Amazônia
Vila Nova dos Martírios,2112852,1.271491250056,0.247952122918504,-5.18,-48.13,98431,3491,52662.41,1900,629,110673,13905.81,7.3428e-06,15342,0.77,0.06,0.00286533,0.224669604,0.75,0.088825215,11339,-5.18,-48.13,Amazônia
Vitória do Mearim,2112902,2.22723057103348,0.434329806274657,-3.46,-44.87,28245.9,671,5572.75,4782,166,20593,5720.31,1.69441e-05,18916,0.83,0.06,0.003533569,0.089761571,0.33,0.224381625,45.02,-3.46,-44.87,Amazônia
Vitorino Freire,2113009,1.21769894616977,0.237462144364047,-4.28,-45.25,74235.1,1100,16375.54,3718,1798,63290,4024,5.70736e-06,15407,0.66,0.06,0.002143623,0.13681592,0.85,0.093247588,25875,-4.28,-45.25,Amazônia
Zé Doca,2114007,2.38898066686876,0.465872516177587,-3.24,-45.82,71809,1904,19038.87,3188,953,47046,9419.29,3.68425e-06,15506,0.77,0.04,0.003420753,0.172566372,0.9,0.221208666,23.87,-3.24,-45.82,Amazônia
